,director,first_actor,genres,rating,runtime,second_actor,title
4006,Brett Ratner,Patrick Stewart,"[Action, Adventure, Sci-Fi, Thriller]",6.8,104.0,Hugh Jackman,X-Men: The Last Stand
4007,Phil Lord,Christopher Miller,"[Action, Comedy, Crime]",7.2,109.0,Jonah Hill,21 Jump Street
4008,Duncan Jones,Jake Gyllenhaal,"[Mystery, Sci-Fi, Thriller]",7.5,93.0,Michelle Monaghan,Source Code
4009,Todd Phillips,Bradley Cooper,[Comedy],6.5,102.0,Zach Galifianakis,The Hangover Part II
4010,Brad Bird,Tom Cruise,"[Action, Adventure, Thriller]",7.4,133.0,Jeremy Renner,Mission: Impossible - Ghost Protocol
4011,Alex Proyas,Will Smith,"[Action, Mystery, Sci-Fi, Thriller]",7.1,115.0,Bridget Moynahan,"I, Robot"
4012,Tim Burton,Johnny Depp,"[Drama, Fantasy, Romance]",8.0,105.0,Winona Ryder,Edward Scissorhands
4013,Jonathan Dayton,Valerie Faris,"[Adventure, Comedy, Drama]",7.9,101.0,Steve Carell,Little Miss Sunshine
4014,Paul Thomas Anderson,Daniel Day-Lewis,[Drama],8.1,158.0,Paul Dano,There Will Be Blood
4015,Len Wiseman,Bruce Willis,"[Action, Adventure, Thriller]",7.3,128.0,Justin Long,Die Hard 4.0
4016,Clint Eastwood,Sean Penn,"[Crime, Drama, Mystery, Thriller]",8.0,138.0,Tim Robbins,Mystic River
4017,Eric Bress,J. Mackye Gruber,"[Sci-Fi, Thriller]",7.7,113.0,Ashton Kutcher,The Butterfly Effect
4018,Sam Raimi,Tobey Maguire,"[Action, Adventure]",6.2,139.0,Kirsten Dunst,Spider-Man 3
4019,Mary Harron,Christian Bale,"[Crime, Drama]",7.6,102.0,Justin Theroux,American Psycho
4020,Edgar Wright,Simon Pegg,[Comedy],7.9,121.0,Nick Frost,Hot Fuzz
4021,Ridley Scott,Denzel Washington,"[Biography, Crime, Drama]",7.8,157.0,Russell Crowe,American Gangster
4022,Rob Marshall,Johnny Depp,"[Action, Adventure, Fantasy]",6.7,136.0,Penélope Cruz,Pirates of the Caribbean: On Stranger Tides
4023,Seth Gordon,Jason Bateman,"[Comedy, Crime]",6.9,98.0,Charlie Day,Horrible Bosses
4024,David Yates,Daniel Radcliffe,"[Adventure, Family, Fantasy, Mystery]",7.4,138.0,Emma Watson,Harry Potter and the Order of the Phoenix
4025,Luc Besson,Bruce Willis,"[Action, Adventure, Sci-Fi]",7.6,126.0,Milla Jovovich,The Fifth Element
4026,Stephen Sommers,Brendan Fraser,"[Action, Adventure, Fantasy]",7.0,125.0,Rachel Weisz,The Mummy
4027,Sofia Coppola,Bill Murray,[Drama],7.8,101.0,Scarlett Johansson,Lost in Translation
4028,Pierre Coffin,Chris Renaud,"[Animation, Comedy, Family]",7.7,95.0,Steve Carell,Despicable Me
4029,Paul Greengrass,Matt Damon,"[Action, Crime, Thriller]",7.8,108.0,Franka Potente,The Bourne Supremacy
4030,Steven Spielberg,Tom Cruise,"[Adventure, Sci-Fi, Thriller]",6.5,116.0,Dakota Fanning,War of the Worlds
4031,Steven Spielberg,Harrison Ford,"[Action, Adventure]",6.3,122.0,Cate Blanchett,Indiana Jones and the Kingdom of the Crystal Skull
4032,Michael Bay,Bruce Willis,"[Action, Adventure, Sci-Fi, Thriller]",6.6,151.0,Billy Bob Thornton,Armageddon
4033,Paul Weitz,Jason Biggs,"[Comedy, Romance]",7.0,95.0,Chris Klein,American Pie
4034,Peter Jackson,Naomi Watts,"[Action, Adventure, Drama, Romance]",7.3,187.0,Jack Black,King Kong
4035,Chan-wook Park,Min-sik Choi,"[Drama, Mystery, Thriller]",8.4,120.0,Ji-tae Yu,Oldboy
4036,David Fincher,Daniel Craig,"[Crime, Drama, Mystery, Thriller]",7.9,158.0,Rooney Mara,The Girl with the Dragon Tattoo
4037,Gabriele Muccino,Will Smith,"[Biography, Drama]",7.9,117.0,Thandie Newton,The Pursuit of Happyness
4038,Roland Emmerich,Dennis Quaid,"[Action, Adventure, Sci-Fi, Thriller]",6.4,124.0,Jake Gyllenhaal,The Day After Tomorrow
4039,Michael Bay,Shia LaBeouf,"[Action, Adventure, Sci-Fi]",6.3,154.0,Rosie Huntington-Whiteley,Transformers: Dark of the Moon
4040,Gavin Hood,Hugh Jackman,"[Action, Adventure, Sci-Fi, Thriller]",6.7,107.0,Liev Schreiber,X-Men Origins: Wolverine
4041,Stephen Chbosky,Logan Lerman,"[Drama, Romance]",8.1,102.0,Emma Watson,The Perks of Being a Wallflower
4042,Louis Leterrier,Edward Norton,"[Action, Adventure, Sci-Fi]",6.9,112.0,Liv Tyler,The Incredible Hulk
4043,Richard Curtis,Hugh Grant,"[Comedy, Drama, Romance]",7.7,135.0,Martine McCutcheon,Love Actually
4044,Michael Bay,Shia LaBeouf,"[Action, Adventure, Sci-Fi]",6.0,150.0,Megan Fox,Transformers: Revenge of the Fallen
4045,Doug Liman,Brad Pitt,"[Action, Comedy, Crime, Romance]",6.5,120.0,Angelina Jolie,Mr. &#x26; Mrs. Smith
4046,Guy Ritchie,Robert Downey Jr.,"[Action, Adventure, Crime, Mystery, Thriller]",7.5,129.0,Jude Law,Sherlock Holmes: A Game of Shadows
4047,Edward Zwick,Tom Cruise,"[Action, Drama, History, War]",7.7,154.0,Ken Watanabe,The Last Samurai
4048,Martin McDonagh,Colin Farrell,"[Comedy, Crime, Drama]",8.0,107.0,Brendan Gleeson,In Bruges
4049,Kathryn Bigelow,Jeremy Renner,"[Drama, Thriller, War]",7.6,131.0,Anthony Mackie,The Hurt Locker
4050,Martin Scorsese,Robert De Niro,"[Biography, Crime, Drama]",8.2,178.0,Sharon Stone,Casino
4051,Marc Forster,Daniel Craig,"[Action, Adventure, Thriller]",6.7,106.0,Olga Kurylenko,Quantum of Solace
4052,David Yates,Daniel Radcliffe,"[Adventure, Family, Fantasy, Mystery]",7.7,146.0,Emma Watson,Harry Potter and the Deathly Hallows: Part 1
4053,Ben Stiller,Ben Stiller,"[Action, Comedy]",7.0,107.0,Jack Black,Tropic Thunder
4054,Judd Apatow,Seth Rogen,"[Comedy, Drama, Romance]",7.1,129.0,Katherine Heigl,Knocked Up
4055,Juan Taratuto,Adrián Suar,[Comedy],6.8,100.0,Valeria Bertuccelli,Un novio para mi mujer
4056,Nicole Conn,Barbara Niven,"[Drama, Romance]",5.8,110.0,Bryan Jackson,A Perfect Ending
4057,Stevan Mena,Michael Biehn,"[Crime, Horror, Thriller]",5.1,103.0,Alexandra Daddario,Bereavement
4058,Indra Kumar,Aamir Khan,"[Action, Comedy, Drama, Musical, Romance]",6.9,161.0,Ajay Devgn,Ishq
4059,Serdar Akar,Erdal Besikçioglu,"[Action, Crime, Mystery]",7.7,110.0,Tardu Flordun,Behzat &#xC7;. - Seni kalbime g&#xF6;md&#xFC;m
4060,Wilson Yip,Nicholas Tse,"[Action, Drama]",6.3,94.0,Donnie Yen,Dragon Tiger Gate
4061,Howard Franklin,Bill Murray,"[Comedy, Family]",5.5,93.0,Matthew McConaughey,Larger Than Life
4062,Abbas Kiarostami,Rin Takanashi,[Drama],6.8,109.0,Tadashi Okuno,Like Someone in Love
4063,Gabriele Salvatores,Christopher Lambert,"[Drama, Sci-Fi, Thriller]",6.0,113.0,Diego Abatantuono,Nirvana
4064,Michael McGowan,Adam Butcher,"[Comedy, Drama, Sport]",7.6,98.0,Campbell Scott,Saint Ralph
4065,Luc Besson,Mia Farrow,"[Animation, Adventure, Family, Fantasy]",5.5,101.0,Ron Crawford,Arthur 3: The War of the Two Worlds
4066,Pablo Trapero,Ricardo Darín,"[Crime, Drama, Romance, Thriller]",6.9,107.0,Martina Gusman,Carancho
4067,Radivoje Andric,Sergej Trifunovic,[Comedy],8.3,92.0,Marija Karan,"When I Grow Up, I&#x27;ll Be a Kangaroo"
4068,Todd Graff,Don Dixon,"[Comedy, Musical, Drama]",6.4,114.0,Daniel Letterle,Camp
4069,Max Färberböck,Maria Schrader,"[Romance, Drama, War]",7.3,125.0,Juliane Köhler,Aim&#xE9;e &#x26; Jaguar
4070,Salim Akil,Jordin Sparks,"[Drama, Music]",5.6,116.0,Carmen Ejogo,Sparkle
4071,Takao Okawara,Hiroshi Abe,"[Action, Adventure, Drama, Sci-Fi, Thriller]",5.9,99.0,Naomi Nishida,Godzilla Millenium
4072,Tony Mitchell,Robert Carlyle,"[Action, Drama, Thriller]",4.8,110.0,Jessalyn Gilsig,Flood
4073,Abdellatif Kechiche,Habib Boufares,[Drama],7.4,151.0,Hafsia Herzi,Couscous
4074,Chris Crow,Scarlett Alice Johnson,"[Horror, Thriller]",5.3,96.0,Jack Gordon,Panic Button
4075,Patricia Rozema,Pascale Bussières,"[Drama, Romance]",6.8,94.0,Rachael Crawford,When Night Is Falling
4076,Kern Konwiser,David Ren,"[Comedy, Drama, Romance]",6.9,106.0,Ken Leung,Shanghai Kiss
4077,Robert Rodriguez,Jimmy Bennett,"[Comedy, Family, Fantasy]",4.9,89.0,James Spader,Shorts
4078,Mani Ratnam,Arvind Swamy,"[Drama, Musical, Romance]",8.0,141.0,Manisha Koirala,Bombay
4079,Peter Greenaway,John Gielgud,"[Fantasy, Drama]",6.9,124.0,Michael Clark,Prospero&#x27;s Books
4080,Michael Winterbottom,Colin Firth,"[Drama, Horror, Mystery, Romance]",6.1,94.0,Perla Haney-Jardine,Genova
4081,Brett Leonard,Jeff Goldblum,"[Fantasy, Horror, Thriller]",5.3,106.0,Christine Lahti,Hideaway
4082,Alain Berbérian,Chantal Lauby,[Comedy],7.8,93.0,Alain Chabat,Fear City: A Family-Style Comedy
4083,Michael Corrente,Paulo Araujo,"[Crime, Drama]",6.4,99.0,Daniel Tay,Brooklyn Rules
4084,Takashi Shimizu,Yûka,"[Horror, Mystery]",6.2,96.0,Karina,Rinne
4085,Josh Reed,Zoe Tuckwell-Smith,"[Horror, Thriller]",4.9,80.0,Krew Boylan,Primal
4086,Simon Wincer,Paul Hogan,"[Comedy, Western]",5.3,98.0,Cuba Gooding Jr.,Lightning Jack
4087,Vincenzo Natali,David Hewlett,"[Comedy, Fantasy]",6.3,90.0,Andrew Miller,Nothing
4088,Griffin Dunne,Diane Lane,"[Drama, Thriller]",6.6,107.0,Donald Sutherland,Fierce People
4089,Shane Meadows,Thomas Turgoose,"[Comedy, Drama]",6.9,71.0,Ireneusz Czop,Somers Town
4090,Matt Checkowski,Kurt Mattila,"[Comedy, Drama, Romance]",6.5,90.0,Jerry O'Connell,The Alibi
4091,Keoni Waxman,Eric Roberts,"[Action, Thriller]",5.2,98.0,Steve Austin,Hunt to Kill
4092,Liam Lynch,Sarah Silverman,"[Comedy, Music]",6.5,72.0,Brian Posehn,Sarah Silverman: Jesus Is Magic
4093,Steven Sawalich,Ron Livingston,"[Biography, Comedy, Drama, Music, Romance, War]",7.4,94.0,Melissa George,Music Within
4094,Po-Chih Leong,Jude Law,"[Crime, Mystery, Romance, Thriller]",6.3,98.0,Elina Löwensohn,The Wisdom of Crocodiles
4095,John Irvin,Harvey Keitel,"[Crime, Drama, Thriller]",6.2,97.0,Stephen Dorff,City of Industry
4096,Sönke Wortmann,Louis Klamroth,"[Comedy, Drama, Sport]",6.9,118.0,Peter Lohmeyer,The Miracle of Bern
4097,Marcus Adams,Joe Absolom,"[Horror, Thriller]",4.9,94.0,Tom Bell,Long Time Dead
4098,Spike Lee,Theresa Randle,"[Comedy, Drama]",5.0,108.0,Isaiah Washington,Girl 6
4099,Ben Elton,Hugh Laurie,"[Comedy, Romance]",5.7,104.0,Joely Richardson,Maybe Baby
4100,Masaaki Yuasa,Kôji Imada,"[Animation, Adventure, Comedy, Fantasy]",8.0,103.0,Sayaka Maeda,Mind Game
4101,Michel Ocelot,Doudou Gueye Thiaw,"[Animation, Adventure, Family, Fantasy]",7.5,74.0,Maimouna N'Diaye,Kirikou and the Sorceress
4102,David Dhawan,Salman Khan,"[Comedy, Romance]",6.6,163.0,Akshay Kumar,Mujhse Shaadi Karogi
4103,Deborah Kampmeier,Dakota Fanning,"[Drama, Music]",6.3,102.0,David Morse,Hounddog
4104,Giddens Ko,Zhendong Ke,"[Comedy, Drama, Romance]",7.8,109.0,Michelle Chen,You Are the Apple of My Eye
4105,Frank Henenlotter,James Lorinz,"[Comedy, Horror, Sci-Fi]",6.1,85.0,Joanne Ritchie,Frankenhooker
4106,James Ivory,Ralph Fiennes,"[Drama, History, Romance, War]",6.7,135.0,Natasha Richardson,The White Countess
4107,Dong-bin Kim,Eun-Kyung Shin,[Horror],6.5,108.0,Seung-hyeon Lee,The Ring Virus
4108,Robert Salis,Gregori Baquet,[Drama],5.9,110.0,Alice Taglioni,Grande &#xE9;cole
4109,Ming-liang Tsai,Tien Miao,"[Drama, Romance]",7.4,115.0,Kang-sheng Lee,The River
4110,Bora Tekay,Selim Erdogan,"[Comedy, Crime]",7.4,105.0,Elvin Besikcioglu,Beans
4111,Woo-Suk Kang,Kyung-gu Sol,"[Action, Drama]",7.2,138.0,Sung-jae Lee,Public Enemy
4112,Lodewijk Crijns,Geza Weisz,"[Comedy, Drama]",5.7,86.0,Imanuelle Grives,Only Decent People
4113,Miles Anderson,Romane Bohringer,[Drama],6.4,110.0,David Bradley,The King Is Alive
4114,Óskar Jónasson,Baltasar Kormákur,[Thriller],6.8,88.0,Ingvar Eggert Sigurðsson,Reykjavik-Rotterdam
4115,Mustafa Altioklar,Pelin Batu,[Comedy],4.9,125.0,Yavuz Bingol,O simdi asker
4116,Jeremy Podeswa,Robbie Kay,[Drama],7.0,104.0,Monika Schurmann,Fugitive Pieces
4117,Stéphane Brizé,Vincent Lindon,"[Drama, Romance]",7.0,101.0,Sandrine Kiberlain,Mademoiselle Chambon
4118,Khyentse Norbu,Tshewang Dendup,"[Drama, Adventure]",7.6,108.0,Sonam Lhamo,Travellers and Magicians
4119,Peter Andrikidis,Nick Giannopoulos,[Comedy],4.7,102.0,Vince Colosimo,The Kings of Mykonos
4120,Banjong Pisanthanakun,Paween Purikitpanya,"[Drama, Horror, Mystery, Thriller]",6.9,120.0,Maneerat Kham-uan,4bia
4121,Jannik Johansen,Nikolaj Lie Kaas,"[Drama, Thriller]",6.8,124.0,Nicolas Bro,Murk
4122,Harvey Kahn,Christian Slater,"[Crime, Drama, Thriller]",5.0,107.0,Selma Blair,The Deal
4123,Jonathan Lisecki,Jenn Harris,"[Comedy, Drama]",6.1,89.0,Anna Margaret Hollyman,Gayby
4124,David Hugh Jones,Ben Kingsley,"[Drama, Thriller]",5.9,114.0,Amy Irving,The Confession
4125,Darren Lemke,Dean Cain,"[Action, Adventure, Thriller]",6.1,90.0,Ashley Scott,Lost
4126,Anne Fontaine,Isabelle Huppert,"[Comedy, Drama, Romance]",6.0,103.0,Benoît Poelvoorde,My Worst Nightmare
4127,Stephen Berra,Mark Webber,"[Comedy, Drama]",6.5,90.0,Zooey Deschanel,The Good Life
4128,Rémi Bezançon,Vincent Elbaz,"[Comedy, Romance]",7.0,103.0,Marion Cotillard,Ma vie en l&#x27;air
4129,Rajkumar Santoshi,Rekha,"[Drama, Musical, Crime, Romance]",6.8,202.0,Anil Kapoor,Lajja
4130,Sabine Bernardi,Rick Okon,[Drama],7.1,94.0,Maximilian Befort,Romeos
4131,Christoph Schrewe,Dean Cain,"[Action, Adventure, Sci-Fi, Thriller]",3.0,90.0,Bettina Zimmermann,Post Impact
4132,Tim Sullivan,Bill Moseley,"[Comedy, Horror]",3.2,84.0,Lin Shaye,2001 Maniacs: Field of Screams
4133,Wojciech Smarzowski,Marcin Dorocinski,"[Drama, War]",7.6,90.0,Agata Kulesza,Rose
4134,Uwe Boll,Til Schweiger,"[Action, Adventure, Sci-Fi]",3.2,95.0,Emmanuelle Vaugier,Far Cry
4135,Roger Michell,Peter O'Toole,"[Comedy, Drama, Romance]",7.2,95.0,Jodie Whittaker,Venus
4136,Rob Reiner,Luke Wilson,"[Comedy, Romance]",5.5,96.0,Kate Hudson,Alex &#x26; Emma
4137,Francine McDougall,Marla Sokoloff,"[Comedy, Crime]",5.5,81.0,Marley Shelton,Sugar &#x26; Spice
4138,Álex de la Iglesia,Álex Angulo,"[Action, Comedy, Crime, Horror, Thriller]",7.5,103.0,Armando De Razza,The Day of the Beast
4139,Francis Ford Coppola,Tim Roth,"[Drama, Fantasy, Mystery, Romance, Thriller]",6.3,124.0,Alexandra Maria Lara,Youth Without Youth
4140,Randall Miller,Chris Pine,"[Comedy, Drama]",6.8,110.0,Alan Rickman,Bottle Shock
4141,Ömer Faruk Sorak,Cem Yilmaz,"[Comedy, Western]",7.2,112.0,Ozan Guven,Yahsi Bati - The Ottoman Cowboys
4142,Jonathan Lynn,Eddie Murphy,"[Comedy, Crime]",5.8,112.0,Lane Smith,The Distinguished Gentleman
4143,Tolga Örnek,Nejat Isler,"[Comedy, Drama]",7.8,105.0,Yigit Özsener,Losers&#x27; Club
4144,Steve Buscemi,Steve Buscemi,"[Comedy, Drama]",7.2,95.0,Carol Kane,Trees Lounge
4145,Vincent Gallo,Vincent Gallo,[Drama],5.0,93.0,Chloë Sevigny,The Brown Bunny
4146,Nuri Bilge Ceylan,Muzaffer Özdemir,[Drama],7.7,110.0,Emin Toprak,Distant
4147,Ang Lee,Tobey Maguire,"[Drama, Romance, War, Western]",6.8,138.0,Skeet Ulrich,Ride with the Devil
4148,Karan Johar,Shah Rukh Khan,[Drama],6.0,193.0,Rani Mukerji,Kabhi Alvida Naa Kehna
4149,George A. Romero,Timothy Hutton,"[Horror, Mystery]",5.9,122.0,Amy Madigan,The Dark Half
4150,Mahsun Kirmizigül,Haluk Bilginer,[Drama],6.0,119.0,Danny Glover,Five Minarets in New York
4151,Chris Fisher,Daveigh Chase,"[Crime, Mystery, Sci-Fi, Thriller]",3.7,103.0,Briana Evigan,S. Darko
4152,Rob Reiner,Elijah Wood,"[Adventure, Comedy, Drama, Family, Fantasy]",4.4,87.0,Bruce Willis,North
4153,David Mackenzie,Jamie Bell,"[Drama, Mystery, Romance]",7.1,95.0,Ruth Milne,Hallam Foe
4154,Darren Lynn Bousman,Timothy Gibbs,"[Horror, Thriller]",4.0,90.0,Michael Landes,666: The Prophecy
4155,Vondie Curtis-Hall,Tupac Shakur,"[Comedy, Crime, Drama]",7.0,91.0,Tim Roth,Gridlock&#x27;d
4156,Craig Rosenberg,Demi Moore,"[Drama, Horror, Mystery, Thriller]",6.0,110.0,Henry Ian Cusick,Half Light
4157,Hark Tsui,Jean-Claude Van Damme,"[Action, Comedy, Thriller]",4.7,91.0,Rob Schneider,Knock Off
4158,Deb Hagan,Drake Bell,[Comedy],4.6,94.0,Kevin Covais,College
4159,Todd Graff,Aly Michalka,"[Comedy, Drama, Family, Music, Romance]",6.4,111.0,Vanessa Hudgens,Bandslam
4160,Mark L. Lester,Dolph Lundgren,"[Action, Comedy, Crime, Thriller]",6.0,79.0,Brandon Lee,Showdown in Little Tokyo
4161,Roberto Benigni,Roberto Benigni,"[Comedy, Drama, Romance, War]",7.2,114.0,Jean Reno,The Tiger and the Snow
4162,David Mackenzie,Ewan McGregor,"[Drama, Crime, Thriller]",6.4,98.0,Tilda Swinton,Young Adam
4163,Irwin Winkler,Val Kilmer,"[Drama, Romance]",5.9,128.0,Mira Sorvino,At First Sight
4164,Dario Piana,Mike Vogel,"[Horror, Thriller]",5.6,87.0,Jaime Murray,The Deaths of Ian Stone
4165,Gilles Mimouni,Romane Bohringer,"[Drama, Mystery, Romance]",7.6,116.0,Vincent Cassel,L&#x27;Appartement
4166,Andrew Fleming,Lara Flynn Boyle,"[Comedy, Romance, Drama]",6.2,93.0,Josh Charles,Threesome
4167,István Szabó,Ralph Fiennes,"[Drama, History, Romance, War]",7.5,181.0,Rosemary Harris,Sunshine
4168,James Ponsoldt,Mary Elizabeth Winstead,"[Comedy, Drama]",6.8,81.0,Aaron Paul,Smashed
4169,Thaddeus O'Sullivan,Kevin Spacey,"[Comedy, Crime]",6.4,93.0,Linda Fiorentino,Ordinary Decent Criminal
4170,Paul Johansson,Taylor Schilling,"[Drama, Mystery, Sci-Fi]",5.8,97.0,Grant Bowler,Atlas Shrugged: Part I
4171,Rob Sitch,Michael Caton,[Comedy],7.8,85.0,Anne Tenney,The Castle
4172,Jens Lien,Trond Fausa,"[Comedy, Drama, Fantasy, Mystery]",7.4,95.0,Petronella Barker,The Bothersome Man
4173,Neil Jordan,Annette Bening,"[Drama, Fantasy, Thriller]",5.4,100.0,Robert Downey Jr.,In Dreams
4174,Jean-Jacques Annaud,Guy Pearce,"[Adventure, Drama, Family]",7.1,109.0,Freddie Highmore,Two Brothers
4175,John Roberts,Gena Rowlands,"[Adventure, Comedy, Drama, Family]",6.4,91.0,Tony Shalhoub,Paulie
4176,Michael Hoffman,Sally Field,"[Comedy, Romance]",6.4,97.0,Kevin Kline,Soapdish
4177,Louis Malle,Jeremy Irons,"[Drama, Romance]",6.8,111.0,Juliette Binoche,Damage
4178,Alek Keshishian,Brittany Murphy,"[Comedy, Romance]",6.3,90.0,Matthew Rhys,Love and Other Disasters
4179,Sheng Ding,Jackie Chan,"[Action, Adventure, Comedy]",7.0,96.0,Leehom Wang,Little Big Soldier
4180,Xavier Dolan,Anne Dorval,[Drama],7.4,96.0,Xavier Dolan,I Killed My Mother
4181,Joseph Kahn,Josh Hutcherson,"[Comedy, Horror, Sci-Fi]",5.8,93.0,Shanley Caswell,Detention
4182,Teddy Chan,Jackie Chan,"[Action, Comedy, Thriller]",5.8,108.0,Min Kim,The Accidental Spy
4183,Ten Shimoyama,Yukie Nakama,"[Action, Drama, Fantasy, Romance]",7.0,107.0,Jô Odagiri,Shinobi
4184,Del Shores,Delta Burke,[Comedy],7.0,111.0,Bonnie Bedelia,Sordid Lives
4185,Dick Maas,William Hurt,"[Action, Thriller, Comedy]",4.9,94.0,Jennifer Tilly,Do Not Disturb
4186,Kuo-fu Chen,Tony Leung Ka Fai,"[Horror, Mystery, Thriller]",6.4,113.0,David Morse,Shuang tong
4187,Jorge Torregrossa,Maribel Verdú,"[Drama, Sci-Fi, Thriller]",4.9,88.0,Daniel Grao,The End
4188,Friðrik Þór Friðriksson,Ingvar Eggert Sigurðsson,"[Biography, Drama]",7.8,100.0,Baltasar Kormákur,Angels of the Universe
4189,Raoul Ruiz,John Malkovich,"[Biography, Drama]",5.1,131.0,Veronica Ferres,Klimt
4190,Roy Knyrim,Jason Connery,"[Drama, Horror, Thriller]",4.7,90.0,A.J. Cook,Night Skies
4191,Ken Loach,Crissy Rock,[Drama],7.6,101.0,Vladimir Vega,Ladybird Ladybird
4192,John Kalangis,Billy Zane,"[Comedy, Horror, Thriller]",4.8,83.0,Maggie Castle,The Mad
4193,Jing Wong,Stephen Chow,[Comedy],7.5,106.0,Sharla Cheung,Gau ban ji ma goon ji baak min bau ching tin
4194,Anees Bazmee,Ajay Devgn,"[Crime, Thriller, Drama, Romance]",6.6,169.0,Akshaye Khanna,Deewangee
4195,Matthew Broderick,Matthew Broderick,"[Biography, Drama]",6.1,119.0,Patricia Arquette,Infinity
4196,Jonathan King,Tom Cameron,"[Adventure, Drama, Fantasy]",4.9,90.0,Sophie McBride,Under the Mountain
4197,John Erman,Bette Midler,[Drama],5.8,109.0,John Goodman,Stella
4198,Aleksey Balabanov,Sergey Makovetskiy,"[Comedy, Drama, History]",7.2,93.0,Dinara Drukarova,Pro urodov i lyudey
4199,Sandy Tung,Ricky Schroder,"[Drama, Sport]",5.7,100.0,Brad Pitt,Across the Tracks
4200,David M. Rosenthal,Abigail Breslin,"[Drama, Music]",6.7,114.0,Alessandro Nivola,Janie Jones
4201,Justin Lin,Roger Fan,[Comedy],6.2,84.0,Dustin Nguyen,Finishing the Game: The Search for a New Bruce Lee
4202,Maria Lease,Denise Crosby,"[Horror, Thriller]",4.5,93.0,Sam Bottoms,Dolly Dearest
4203,Jon Hewitt,Joel Edgerton,"[Crime, Drama, Horror, Mystery, Thriller]",5.7,91.0,Michael Dorman,Acolytes
4204,Julian Kemp,Brendan Patricks,[Comedy],5.8,87.0,Naomie Harris,My Last Five Girlfriends
4205,José Luis Guerín,Pilar López de Ayala,[Drama],7.0,84.0,Xavier Lafitte,In the City of Sylvia
4206,Bharathan,Kamal Hassan,[Drama],8.0,145.0,Shivaji Ganesan,The Chieftain&#x27;s Son
4207,Kristina Buozyte,Marius Jampolskis,"[Romance, Sci-Fi, Thriller]",6.1,124.0,Jurga Jutaite,Vanishing Waves
4208,Adam Coleman Howard,Alan Rickman,"[Thriller, Drama]",6.1,96.0,Polly Walker,Dark Harbor
4209,Noémie Lvovsky,Noémie Lvovsky,"[Comedy, Drama]",6.3,115.0,Samir Guesmi,Camille Rewinds
4210,Antony Cordier,Johan Libéreau,[Drama],6.2,102.0,Salomé Stévenin,Cold Showers
4211,Lisa Ohlin,Bill Skarsgård,[Drama],6.4,122.0,Helen Sjöholm,Simon &#x26; the Oaks
4212,Jake Scott,James Gandolfini,[Drama],7.0,110.0,Kristen Stewart,Welcome to the Rileys
4213,Jonathan Kaplan,Claire Danes,"[Drama, Mystery, Thriller]",6.4,100.0,Kate Beckinsale,Brokedown Palace
4214,Justin Kerrigan,John Simm,"[Comedy, Music]",7.0,99.0,Lorraine Pilkington,Human Traffic
4215,Brian Levant,Cuba Gooding Jr.,"[Adventure, Comedy, Family, Sport]",5.1,99.0,James Coburn,Snow Dogs
4216,David Bruckner,Dan Bush,"[Horror, Sci-Fi, Thriller]",6.1,103.0,Anessa Ramsey,The Signal
4217,Michael Winterbottom,Tim Robbins,"[Drama, Romance, Sci-Fi, Thriller]",6.3,93.0,Samantha Morton,Code 46
4218,Peter Hyams,Penelope Ann Miller,"[Horror, Mystery, Sci-Fi, Thriller]",5.7,110.0,Tom Sizemore,The Relic
4219,Curtis Hanson,Eric Bana,"[Drama, Romance, Sport]",5.9,124.0,Drew Barrymore,Lucky You
4220,Anthony Hickox,Terry Farrell,[Horror],5.4,93.0,Doug Bradley,Hellraiser III: Hell on Earth
4221,Jerry Zaks,Meryl Streep,[Drama],6.7,98.0,Leonardo DiCaprio,Marvin&#x27;s Room
4222,Jean-Baptiste Andrea,Fabrice Canepa,"[Horror, Mystery, Thriller, Comedy]",6.8,85.0,Ray Wise,Dead End
4223,Mike Figgis,Dennis Quaid,"[Drama, Mystery, Thriller]",4.9,118.0,Sharon Stone,Cold Creek Manor
4224,Rob Reiner,Bruce Willis,"[Comedy, Drama, Romance]",5.9,95.0,Michelle Pfeiffer,The Story of Us
4225,Sammo Hung Kam-Bo,Jackie Chan,"[Action, Comedy, Crime]",6.1,94.0,Richard Norton,Mr. Nice Guy
4226,Enki Bilal,Linda Hardy,"[Animation, Action, Crime, Drama, Sci-Fi]",6.0,103.0,Thomas Kretschmann,Immortal (Ad Vitam)
4227,Bernard Rose,Gary Oldman,"[Biography, Drama, Music, Romance]",7.4,121.0,Jeroen Krabbé,Immortal Beloved
4228,Lynn Shelton,Mark Duplass,"[Comedy, Drama]",6.7,90.0,Emily Blunt,Your Sister&#x27;s Sister
4229,Peter Weir,Gérard Depardieu,"[Comedy, Drama, Romance]",6.2,103.0,Andie MacDowell,Green Card
4230,Martin Gero,Aaron Abrams,"[Comedy, Drama, Romance]",6.3,87.0,Carly Pope,Young People Fucking
4231,Oliver Parker,Rupert Everett,"[Comedy, Drama, Romance]",6.9,97.0,Colin Firth,The Importance of Being Earnest
4232,Jonas Åkerlund,Dennis Quaid,"[Crime, Drama, Mystery, Thriller]",5.6,90.0,Ziyi Zhang,Horsemen
4233,Imtiaz Ali,Shahid Kapoor,"[Comedy, Romance]",8.0,138.0,Kareena Kapoor,Jab We Met
4234,Howard Deutch,Walter Matthau,"[Comedy, Romance]",6.5,101.0,Jack Lemmon,Grumpier Old Men
